Year,Company Name,Country,Industry (Exiobase),Total Environmental Intensity (Revenue),Total Environmental Intensity (Operating Income),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,% Imputed
2018,HK ELECTRIC INVESTMENTS LIMITED,Hong Kong,Production of electricity nec,-1907.17%,-4307.73%,"(28,27,82,83,774)","(3,07,66,03,681)","(3,73,373)","(1,83,45,622)","(39,61,835)","(74,247)","(1,52,91,484)","(25,16,35,40,741)","(92,792)",8%
2018,XCEL ENERGY INC.,United States,Production of electricity nec,-139.92%,-824.69%,"(16,12,27,49,211)","(5,26,86,74,942)","(13,07,359)","(6,85,12,270)","(1,58,30,561)","(2,42,999)","(17,42,531)","(10,76,72,88,653)","8,50,105 ",0%
2018,RWE AG,Germany,Production of electricity nec,-99.63%,N/A,"(15,27,06,60,902)","(14,96,40,41,812)","(35,50,428)","(18,04,04,864)","(4,18,62,985)","(6,38,464)","(80,96,962)","(7,36,34,026)","15,68,639 ",13%
2018,PG&E CORPORATION,United States,Production of electricity nec,-91.08%,-737.08%,"(15,26,49,05,174)","(89,39,74,056)","(1,45,755)","(82,10,170)","(19,03,330)","(27,575)","(25,34,329)","(14,35,80,62,732)","(47,225)",0
2018,"AMERICAN ELECTRIC POWER COMPANY,INC. ",United States,Production of electricity nec,-76.26%,-448.58%,"(12,35,06,64,856)","(9,85,14,29,342)","(26,85,541)","(12,70,81,641)","(2,95,19,167)","(4,55,368)","(24,49,146)","(2,33,83,50,268)","13,05,617 ",3%
2018,SOUTHERN CO,United States,Production of electricity nec,-49.45%,-223.12%,"(11,61,79,76,360)","(11,37,13,59,024)","(28,13,714)","(14,68,98,271)","(3,40,87,963)","(5,05,271)","(35,52,960)","(5,99,38,442)","11,79,285 ",5%
2018,FIRSTENERGY CORPORATION,United States,Production of electricity nec,-72.56%,-347.40%,"(8,17,07,92,062)","(5,69,79,60,058)","(15,67,268)","(7,34,58,185)","(1,70,03,855)","(2,70,000)","(17,02,911)","(2,37,98,19,029)","9,89,244 ",3%
2018,CHUBU ELECTRIC POWER CO INC,Japan,Production of electricity nec,-27.78%,-580.58%,"(7,22,33,01,029)","(7,06,69,96,987)","(15,26,232)","(8,69,22,015)","(2,03,06,628)","(2,78,681)","(40,70,054)","(4,32,03,992)","3,560 ",10%
2018,ENGIE SA,France,Production of electricity nec,-9.85%,-185.87%,"(6,83,32,07,681)","(6,68,98,93,728)","(24,04,149)","(8,67,62,290)","(2,01,68,533)","(3,59,871)",-,"(3,54,67,651)","18,48,541 ",0%
2018,AGL ENERGY LTD,Australia,Production of electricity nec,-69.04%,-546.53%,"(6,23,63,40,901)","(3,66,80,47,839)","(17,96,496)","(4,69,09,939)","(1,07,44,319)","(2,49,987)","(62,424)","(2,51,08,29,488)","22,99,591 ",0%
2018,NEXTERA ENERGY INC,United States,Production of electricity nec,-38.02%,-160.71%,"(6,21,64,46,484)","(4,94,28,47,064)","(11,25,397)","(6,25,94,827)","(1,45,15,027)","(2,06,195)","(24,72,479)","(1,19,29,29,822)","2,44,328 ",6%
2018,KANSAI ELECTRIC POWER COMPANY  INCORPORATED (THE),Japan,Production of electricity nec,-21.67%,-298.42%,"(6,18,92,25,987)","(6,05,84,32,623)","(12,84,600)","(7,26,83,507)","(1,69,76,264)","(2,32,995)","(44,69,916)","(3,50,78,592)","(67,491)",0
2018,DTE ENERGY COMPANY,United States,Production of electricity nec,-33.52%,-279.67%,"(4,75,99,79,432)","(4,03,70,17,912)","(11,48,499)","(5,00,75,700)","(1,15,88,156)","(1,85,366)","(21,47,201)","(65,83,64,730)","5,48,131 ",7%
2018,FIRST PHILIPPINE HOLDINGS CORPORATION,Philippines,Production of electricity nec,-188.91%,-815.70%,"(4,51,60,41,758)","(62,95,73,053)","(1,55,061)","(81,86,096)","(18,99,846)","(31,703)","(2,11,842)","(3,87,60,72,586)","88,428 ",0%
2018,CHUGOKU ELECTRIC POWER CO INC,Japan,Production of electricity nec,-37.40%,-1240.95%,"(4,48,18,95,082)","(4,38,83,89,511)","(10,11,110)","(5,51,21,810)","(1,28,65,630)","(1,82,111)","(18,75,712)","(2,26,22,321)","1,73,124 ",7%
2018,DOMINION ENERGY INC,United States,Production of electricity nec,-32.95%,-121.61%,"(4,40,46,24,561)","(3,27,17,75,553)","(7,82,468)","(4,08,39,637)","(94,37,034)","(1,40,020)","(20,21,233)","(1,07,99,05,814)","2,77,199 ",7%
2018,ENTERGY CORPORATION,United States,Production of electricity nec,-39.90%,-438.59%,"(4,39,32,79,285)","(4,30,15,15,756)","(12,47,788)","(5,46,03,314)","(1,26,21,113)","(2,07,005)","(16,64,871)","(2,22,41,691)","8,22,255 ",6%
2018,VEOLIA ENVIRONNEMENT SA,France,Production of electricity nec,-14.25%,-216.91%,"(4,22,77,42,881)","(3,60,81,53,581)","(9,81,190)","(4,81,57,839)","(1,11,99,506)","(1,72,970)",-,"(55,96,85,200)","6,07,404 ",0%
2018,KYUSHU ELECTRIC POWER CO INC,Japan,Production of electricity nec,-23.40%,-444.76%,"(4,18,02,93,444)","(4,09,54,26,181)","(10,37,045)","(4,96,68,965)","(1,15,13,726)","(1,81,773)","(27,96,321)","(2,02,44,147)","5,74,714 ",12%
2018,PPL CORP,United States,Production of electricity nec,-50.74%,-138.50%,"(3,95,01,11,045)","(3,27,67,49,896)","(8,77,903)","(4,19,58,766)","(97,13,071)","(1,51,826)","(11,77,263)","(61,99,77,150)","4,94,830 ",4%
2018,WEC ENERGY GROUP INC,United States,Production of electricity nec,-44.30%,-238.51%,"(3,40,18,06,592)","(3,04,90,13,189)","(7,55,211)","(3,89,23,387)","(90,68,305)","(1,34,304)","(11,61,309)","(30,30,40,346)","2,89,461 ",5%
2018,AMEREN CORPORATION,United States,Production of electricity nec,-50.86%,-235.77%,"(3,19,93,64,835)","(3,13,32,57,605)","(10,01,763)","(3,92,67,913)","(91,37,735)","(1,50,503)","(9,51,337)","(1,60,69,638)","4,71,660 ",4%
2018,PINNACLE WEST CAPITAL CORPORATION,United States,Production of electricity nec,-74.02%,-358.18%,"(2,73,39,93,503)","(1,30,62,02,000)","(3,46,959)","(1,67,66,938)","(38,60,620)","(62,431)","(5,58,584)","(1,40,64,68,479)","2,72,509 ",1%
2018,EMERA INC.,Canada,Production of electricity nec,-47.88%,-223.46%,"(2,28,93,90,255)","(2,22,49,56,744)","(9,03,420)","(2,45,05,793)","(56,82,294)","(2,95,136)","(14,91,264)","(3,21,48,179)","5,92,576 ",15%
2018,EDP - ENERGIAS DE PORTUGAL S.A.,Portugal,Production of electricity nec,-13.08%,-198.65%,"(2,28,86,25,523)","(1,90,73,97,950)","(5,99,200)","(2,51,24,696)","(58,40,313)","(97,047)",-,"(34,99,94,150)","4,27,834 ",0%
2018,CMS ENERGY CORPORATION,United States,Production of electricity nec,-33.17%,-196.22%,"(2,28,00,31,279)","(2,23,21,52,925)","(5,26,381)","(2,82,28,403)","(65,56,928)","(93,440)","(10,39,349)","(1,15,29,676)","95,823 ",7%
2018,HOKURIKU ELECTRIC POWER COMPANY,Japan,Production of electricity nec,-39.61%,-1592.97%,"(2,15,25,82,641)","(2,10,77,52,847)","(5,15,465)","(2,64,73,788)","(61,76,023)","(90,099)","(8,50,558)","(1,08,59,776)","1,35,914 ",7%
2018,PUBLIC SERVICE ENTERPRISE GROUP INC.,United States,Production of electricity nec,-18.68%,-78.80%,"(1,81,08,80,798)","(1,77,38,39,323)","(4,24,584)","(2,15,03,689)","(49,60,078)","(73,684)","(14,66,248)","(87,21,689)","1,08,497 ",12%
2018,HOKKAIDO ELECTRIC POWER COMPANY INCORPORATED,Japan,Production of electricity nec,-27.10%,-589.04%,"(1,81,06,63,944)","(1,77,10,69,219)","(5,56,101)","(2,14,73,171)","(49,62,951)","(88,522)","(10,45,647)","(1,19,23,351)","4,55,018 ",10%
2018,POWER ASSETS HOLDINGS LTD,Hong Kong,Production of electricity nec,-882.41%,-1103.89%,"(1,75,20,87,992)","(1,62,19,35,108)","(3,60,771)","(1,86,75,488)","(43,03,619)","(66,592)","(20,47,731)","(10,48,63,008)","1,64,327 ",17%
2018,SHIKOKU ELECTRIC POWER CO INC,Japan,Production of electricity nec,-24.59%,-614.80%,"(1,63,98,66,486)","(1,60,37,35,761)","(3,72,423)","(1,95,75,172)","(45,51,295)","(67,377)","(10,43,828)","(1,06,46,638)","1,26,008 ",11%
2018,NISOURCE INC.,United States,Production of electricity nec,-28.74%,-1167.33%,"(1,46,96,62,756)","(1,43,88,69,926)","(3,52,652)","(1,82,01,585)","(42,00,352)","(64,014)","(7,73,425)","(73,85,434)","1,84,632 ",8%
2018,FORTIS INC.,Canada,Production of electricity nec,-20.98%,-74.43%,"(1,28,99,59,806)","(1,26,67,04,466)","(4,04,849)","(1,35,75,284)","(29,37,078)","(3,09,909)","(19,17,797)","(51,60,541)","10,50,117 ",0%
2018,YTL POWER INTERNATIONAL BERHAD,Malaysia,Production of electricity nec,-49.32%,-333.06%,"(1,26,63,96,421)","(1,23,91,26,394)","(2,85,074)","(1,62,22,425)","(37,93,282)","(55,324)","(2,27,541)","(67,19,279)","32,898 ",2%
2018,YTL CORPORATION BERHAD,Malaysia,Production of electricity nec,-32.21%,-218.64%,"(1,23,87,47,731)","(1,21,21,71,003)","(2,95,042)","(1,58,20,613)","(36,77,952)","(59,298)","(3,40,796)","(65,25,285)","1,42,257 ",1%
2018,ATCO LTD,Canada,Production of electricity nec,-33.97%,-93.24%,"(1,21,69,13,877)","(1,19,36,58,960)","(4,61,016)","(1,26,92,153)","(29,25,746)","(1,97,298)","(11,17,305)","(62,73,444)","4,12,044 ",20%
2018,CANADIAN UTILITIES LIMITED,Canada,Production of electricity nec,-36.85%,-149.05%,"(1,18,19,21,790)","(1,16,02,23,920)","(4,57,925)","(1,25,16,798)","(28,85,131)","(1,82,688)","(10,00,500)","(50,73,644)","4,18,818 ",19%
2018,PORTLAND GENERAL ELECTRIC COMPANY,United States,Production of electricity nec,-52.32%,-298.64%,"(1,05,11,99,219)","(81,13,77,360)","(1,90,530)","(1,04,47,617)","(24,22,583)","(35,181)","(3,03,805)","(22,64,91,949)","69,806 ",4%
2018,SEMPRA ENERGY,United States,Production of electricity nec,-8.75%,-38.48%,"(1,02,04,79,642)","(98,10,13,579)","(1,81,815)","(1,06,61,727)","(24,18,797)","(33,993)","(17,63,400)","(2,43,79,229)","(27,103)",26%
2018,SUEZ SA,France,Production of electricity nec,-4.95%,-93.59%,"(98,27,93,211)","(96,14,59,226)","(2,47,811)","(1,29,19,508)","(30,01,760)","(45,583)",-,"(52,77,980)","1,58,658 ",0%
2018,"IDACORP,INC. ",United States,Production of electricity nec,-34.52%,-178.17%,"(47,26,76,608)","(46,28,28,128)","(1,14,657)","(57,82,409)","(13,49,621)","(18,899)","(2,07,083)","(23,73,357)","(2,455)",7%
2018,EL PASO ELECTRIC COMPANY,United States,Production of electricity nec,-46.29%,-242.87%,"(41,82,88,240)","(29,59,93,170)","(78,579)","(38,29,748)","(8,76,717)","(14,776)","(1,36,645)","(11,74,42,417)","83,812 ",5%
2018,HAWAIIAN ELECTRIC INDUSTRIES INCORPORATION,United States,Production of electricity nec,-11.99%,-102.90%,"(34,30,31,453)","(33,65,25,091)","(1,77,546)","(39,21,168)","(8,44,499)","(27,225)","(4,32,623)","(14,84,425)","3,81,125 ",19%
2018,VERBUND AG,Austria,Production of electricity nec,-9.63%,-54.50%,"(31,40,19,471)","(15,89,11,385)","(39,483)","(21,23,389)","(4,95,299)","(7,168)",-,"(15,24,58,156)","15,408 ",0%
2018,SPARK INFRASTRUCTURE GROUP,Australia,Production of electricity nec,-143.41%,-271.80%,"(29,10,57,972)","(28,47,44,992)","(65,209)","(37,86,131)","(8,87,642)","(11,857)","(1,403)","(15,60,865)",127,0%
2018,AUSNET SERVICES LTD,Australia,Production of electricity nec,-17.25%,-46.05%,"(23,22,31,042)","(22,71,94,539)","(52,563)","(30,15,768)","(7,06,999)","(9,494)","(9,302)","(12,43,218)",841,0%
2018,VECTOR LTD,New Zealand,Production of electricity nec,-6.02%,-25.35%,"(5,37,03,474)","(4,14,84,968)","(13,621)","(4,81,992)","(1,05,781)","(3,777)","(79,004)","(1,15,67,308)","32,978 ",15%
2018,MERCURY NZ LTD,New Zealand,Production of electricity nec,-4.19%,-20.76%,"(5,07,09,371)","(3,46,06,641)","(13,525)","(3,65,595)","(75,912)","(4,224)","(1,07,230)","(1,55,81,004)","44,760 ",22%
2018,"REN - REDES ENERGETICAS NACIONAIS,SGPS,S.A. ",Portugal,Production of electricity nec,-3.63%,-10.40%,"(2,99,75,268)","(2,93,25,102)","(6,706)","(3,90,014)","(91,438)","(1,221)",-,"(1,60,788)",-,0%
2018,ERM POWER LTD,Australia,Production of electricity nec,-0.97%,-47.47%,"(2,25,06,117)","(2,20,19,001)","(6,077)","(2,82,810)","(66,236)",(981),"(15,979)","(1,16,478)","1,445 ",3%
2018,TAURON POLSKA ENERGIA SA,Poland,Production of electricity nec,10.29%,244.20%,"49,73,07,110 ","48,96,48,261 ","(5,267)","65,66,623 ","15,92,093 ","5,733 ","(22,332)","(8,52,458)","3,74,456 ",0
2018,EVN AKTIENGESELLSCHAFT,Austria,Production of electricity nec,1185.89%,26950.45%,"28,14,02,24,709 ","27,57,91,74,303 ","(88,19,953)","32,68,40,477 ","8,79,18,795 ","(14,04,650)",-,"8,61,17,633 ","7,03,98,105 ",0%
2018,GRUPO TELEVISA S.A.B,Mexico,"Publishing,printing and reproduction of recorded media (22) ",-0.96%,-5.62%,"(4,94,78,738)","(2,74,86,270)","(10,981)","(2,35,127)","(51,318)","(1,622)","(27,43,948)","(1,89,69,363)","19,889 ",47%
2018,NEWS CORP,United States,"Publishing,printing and reproduction of recorded media (22) ",-0.39%,-5.85%,"(3,51,22,280)","(1,47,46,344)","(7,658)","(1,86,477)","(37,520)","(1,348)","(1,56,529)","(2,00,08,768)","22,364 ",41%
2018,OMNICOM GROUP INCORPORATED,United States,"Publishing,printing and reproduction of recorded media (22) ",-0.23%,-1.79%,"(3,50,50,468)","(10,56,179)","(7,504)","2,295 ","11,041 ","(1,289)","(2,65,221)","(3,37,71,504)","37,893 ",69%
2018,JCDECAUX SA,France,"Publishing,printing and reproduction of recorded media (22) ",-0.27%,-4.10%,"(99,96,414)","(94,27,391)","(3,100)","(1,25,074)","(28,199)",(542),"(19,745)","(3,96,694)","4,331 ",11%
2018,SINGAPORE PRESS HOLDINGS LIMITED,Singapore,"Publishing,printing and reproduction of recorded media (22) ",-0.89%,-3.46%,"(64,32,152)","(51,15,491)","(1,912)","(57,611)","(12,759)",(330),"(6,245)","(12,41,333)","3,528 ",6%
2018,MEDIA PRIMA BHD,Malaysia,"Publishing,printing and reproduction of recorded media (22) ",-2.15%,N/A,"(61,54,478)","(41,71,427)","(1,249)","(51,335)","(11,738)",(220),"(2,483)","(19,17,429)","1,402 ",28%
2018,PROMOTORA DE INFORMACIONES S.A. (PRISA),Spain,"Publishing,printing and reproduction of recorded media (22) ",-0.39%,-3.71%,"(55,25,668)","(25,99,305)","(1,018)","(21,712)","(4,378)",(162),"(3,60,147)","(25,41,264)","2,319 ",12%
2018,TELEVISION BROADCASTS LIMITED,Hong Kong,"Publishing,printing and reproduction of recorded media (22) ",-0.74%,-8.56%,"(42,57,020)","(25,54,755)",(653),"(34,777)","(7,699)",(113),(787),"(16,58,470)",236,1%
2018,GEDI GRUPPO EDITORIALE SPA,Italy,"Publishing,printing and reproduction of recorded media (22) ",-0.39%,-55.94%,"(29,26,275)","(21,91,425)",(725),"(27,590)","(6,305)",(121),"(2,354)","(6,98,626)",871,7%
2018,ATRESMEDIA CORPORACION DE MEDIOS DE COMUNICACION SA,Spain,"Publishing,printing and reproduction of recorded media (22) ",-0.23%,-1.40%,"(26,98,745)","(14,29,167)",(681),"(8,253)","(1,339)",(105),"(3,01,248)","(9,59,892)","1,940 ",21%
2018,MCH GROUP AG,Switzerland,"Publishing,printing and reproduction of recorded media (22) ",-0.08%,N/A,"(4,41,386)","(33,026)",(79),(633),(42),(13),(551),"(4,07,369)",326,68%
2018,CHINA NATIONAL BUILDING MATERIAL CO LTD,China,Quarrying of sand and clay,-79.24%,-588.05%,"(25,22,70,45,441)","(21,85,49,95,291)","(58,17,049)","(29,39,44,568)","(6,79,37,823)","(10,74,261)","(15,91,529)","(3,00,64,68,337)","47,83,417 ",0%
2018,GRUPO ARGOS SA,Colombia,Quarrying of sand and clay,-434.76%,-3092.43%,"(18,51,26,18,225)","(1,05,25,69,915)","(5,29,134)","(95,20,892)","(21,52,845)","(7,86,820)","(23,33,654)","(17,44,53,57,554)","6,32,589 ",0%
2018,LAFARGEHOLCIM LTD,Switzerland,Quarrying of sand and clay,-50.90%,-426.37%,"(14,20,80,98,531)","(13,75,19,97,986)","(42,57,975)","(18,68,37,908)","(4,27,82,003)","(7,76,299)",(44),"(22,71,93,520)","57,47,204 ",0%
2018,HEIDELBERGCEMENT AG,Germany,Quarrying of sand and clay,-39.35%,-586.76%,"(8,14,32,81,229)","(7,90,29,59,016)","(24,89,304)","(10,61,45,454)","(2,43,22,964)","(4,48,551)","(4,52,335)","(10,98,57,417)","33,93,812 ",1%
2018,CHINA RESOURCES CEMENT HOLDINGS LTD,Hong Kong,Quarrying of sand and clay,-139.87%,-498.24%,"(6,92,82,97,821)","(6,22,83,08,599)","(16,27,088)","(8,37,44,629)","(1,94,04,173)","(3,00,489)","(2,47,631)","(59,58,58,607)","11,93,395 ",0%
2018,CRH PLC,Ireland,Quarrying of sand and clay,-18.67%,-221.98%,"(5,72,59,91,672)","(5,50,49,00,526)","(12,01,966)","(5,52,55,655)","(1,27,59,120)","(2,14,996)","(71,353)","(15,22,54,401)","6,66,346 ",31%
2018,CEMEX SAB DE CV,Mexico,Quarrying of sand and clay,-38.07%,-320.17%,"(5,36,42,04,853)","(4,59,21,24,385)","(13,76,657)","(6,22,51,461)","(1,43,15,550)","(2,51,032)","(29,951)","(69,55,37,733)","16,81,917 ",0%
2018,BHP GROUP LTD,Australia,Quarrying of sand and clay,-10.58%,-29.16%,"(4,59,02,62,766)","(99,20,56,970)","(6,80,110)","(1,46,41,441)","(29,57,782)","(1,25,563)","(18,50,366)","(3,58,03,59,849)","24,09,315 ",2%
2018,BHP GROUP PLC,Australia,Quarrying of sand and clay,-14.12%,-38.67%,"(4,56,07,68,630)","(96,36,83,775)","(6,77,966)","(1,43,90,404)","(29,30,476)","(1,25,027)","(10,59,360)","(3,58,03,11,841)","24,10,218 ",1%
2018,SOUTH32 LTD,Australia,Quarrying of sand and clay,-38.44%,-265.99%,"(3,75,18,78,102)","(3,15,12,79,399)","(9,28,198)","(4,10,92,641)","(96,05,317)","(1,46,921)","(3,20,098)","(54,88,31,036)","3,25,506 ",0%
2018,RIO TINTO LIMITED,United Kingdom,Quarrying of sand and clay,-7.92%,-25.71%,"(3,20,97,32,522)","(2,71,64,79,227)","(12,12,838)","(3,09,04,621)","(69,85,804)","(1,74,268)","(3,76,62,731)","(41,80,36,444)","17,23,411 ",27%
2018,RIO TINTO PLC,United Kingdom,Quarrying of sand and clay,-6.97%,-22.63%,"(2,82,46,22,308)","(2,52,77,33,283)","(12,04,393)","(3,03,41,422)","(68,68,306)","(1,72,697)","(2,10,65,120)","(23,90,18,464)","17,81,376 ",17%
2018,SEMEN INDONESIA (PERSERO) TBK PT,Indonesia,Quarrying of sand and clay,-131.29%,-841.48%,"(2,79,34,76,201)","(2,69,43,27,942)","(6,25,598)","(3,57,90,487)","(83,88,172)","(1,13,047)","(48,475)","(5,42,04,746)","22,266 ",0%
2018,DANGOTE CEMENT PLC,Nigeria,Quarrying of sand and clay,-112.00%,-306.94%,"(2,76,78,96,638)","(2,31,76,80,619)","(4,79,919)","(2,47,53,239)","(57,70,495)","(6,95,894)","(13,88,482)","(41,71,37,502)","9,511 ",33%
2018,GLENCORE PLC,Switzerland,Quarrying of sand and clay,-1.04%,-34.44%,"(2,28,71,51,628)","(1,74,87,66,012)","(23,87,904)","(1,21,87,223)","(29,05,280)","(1,93,529)",(258),"(52,28,52,782)","21,41,361 ",0
2018,SHREE CEMENT LTD,India,Quarrying of sand and clay,-152.68%,-942.12%,"(2,15,69,81,135)","(2,08,29,22,508)","(4,31,449)","(2,20,85,967)","(49,15,299)","(81,993)","(41,59,633)","(4,26,70,736)","2,86,450 ",31%
2018,BUZZI UNICEM SPA,Italy,Quarrying of sand and clay,-65.14%,-677.81%,"(2,14,29,30,626)","(2,00,20,03,015)","(6,15,780)","(2,68,14,797)","(61,33,247)","(1,13,772)","(1,135)","(10,81,41,679)","8,92,800 ",2%
2018,ANGLO AMERICAN PLC,United Kingdom,Quarrying of sand and clay,-6.96%,-37.04%,"(1,92,08,86,125)","(1,56,26,95,118)","(6,01,196)","(1,89,76,114)","(43,21,876)","(93,438)","(1,43,52,894)","(32,06,54,022)","8,08,534 ",9%
2018,GRUPO MEXICO S.A.B DE C.V.,Mexico,Quarrying of sand and clay,-17.36%,-47.92%,"(1,82,23,41,525)","(86,90,22,379)","(2,31,323)","(1,11,73,475)","(26,18,054)","(37,635)","(4,28,887)","(93,88,58,871)","29,098 ",0%
2018,VICAT SA,France,Quarrying of sand and clay,-54.74%,-688.16%,"(1,61,83,89,272)","(1,55,22,83,275)","(4,66,816)","(2,10,32,366)","(48,33,059)","(85,348)","(25,196)","(4,02,48,727)","5,85,515 ",0%
2018,INDOCEMENT TUNGGAL PRAKARSA TBK PT,Indonesia,Quarrying of sand and clay,-146.80%,-2213.44%,"(1,54,60,98,016)","(1,48,23,44,322)","(3,43,666)","(1,96,93,312)","(46,15,652)","(62,145)","(23,995)","(3,90,25,944)","11,021 ",0%
2018,MITSUBISHI MATERIALS CORPORATION,Japan,Quarrying of sand and clay,-8.21%,-180.24%,"(1,19,62,25,097)","(1,14,29,40,044)","(3,47,094)","(1,55,27,788)","(35,63,559)","(63,667)","(36,498)","(3,42,01,128)","4,54,681 ",0%
2018,CEMENTOS ARGOS S.A.,Colombia,Quarrying of sand and clay,-36.72%,-453.66%,"(95,16,65,807)","(92,40,25,538)","(3,73,400)","(94,76,434)","(21,92,181)","(4,87,867)","(14,20,494)","(1,39,91,907)","3,02,014 ",13%
2018,CEMENTIR HOLDING S.P.A.,Italy,Quarrying of sand and clay,-68.28%,-619.37%,"(93,50,53,583)","(81,65,74,123)","(2,34,027)","(1,08,52,637)","(24,97,632)","(42,967)",(473),"(10,51,18,138)","2,66,414 ",2%
2018,SOLUSI BANGUN INDONESIA TBK PT,Indonesia,Quarrying of sand and clay,-120.92%,N/A,"(87,00,17,082)","(83,15,42,958)","(2,30,858)","(1,12,15,032)","(25,92,808)","(42,287)","(16,393)","(2,45,93,833)","2,17,087 ",0%
2018,ASIA CEMENT CO LTD,South Korea,Quarrying of sand and clay,-110.44%,-1183.78%,"(83,70,45,204)","(81,88,88,659)","(1,87,503)","(1,08,90,269)","(25,53,069)","(34,111)","(2,916)","(44,89,414)",737,0%
2018,FERROGLOBE PLC,United Kingdom,Quarrying of sand and clay,-29.50%,-812.78%,"(67,09,14,299)","(63,86,49,999)","(1,59,097)","(82,52,991)","(19,31,889)","(27,288)","(15,72,838)","(2,03,41,881)","21,684 ",3%
2018,SUNGSHIN CEMENT COMPANY LIMITED,South Korea,Quarrying of sand and clay,-99.41%,-2296.56%,"(61,44,03,662)","(60,10,76,409)","(1,37,649)","(79,93,564)","(18,73,968)","(25,040)","(2,378)","(32,95,256)",601,0%
2018,PPC LTD,South Africa,Quarrying of sand and clay,-65.74%,-672.54%,"(46,93,28,907)","(41,69,16,640)","(1,40,969)","(54,88,639)","(12,31,782)","(26,631)","(23,58,154)","(4,34,50,603)","2,84,511 ",7%
2018,CEMEX LATAM HOLDING SA,Colombia,Quarrying of sand and clay,-49.33%,-332.60%,"(46,40,52,224)","(45,20,71,870)","(1,30,392)","(52,02,207)","(12,00,203)","(1,80,791)","(5,15,516)","(48,55,670)","1,04,424 ",16%
2018,UNION ANDINA DE CEMENTOS SAA,Peru,Quarrying of sand and clay,-39.72%,-233.89%,"(45,87,81,544)","(44,41,75,537)","(1,79,818)","(46,92,656)","(10,78,668)","(2,20,044)","(6,33,051)","(79,73,373)","1,71,602 ",4%
2018,TAIWAN CEMENT CORPORATION,Taiwan,Quarrying of sand and clay,-10.89%,-48.16%,"(44,33,49,599)","(42,70,28,175)","(1,30,919)","(58,47,071)","(13,35,365)","(24,746)","(24,336)","(91,60,419)","2,01,432 ",0%
2018,IMERYS SA,France,Quarrying of sand and clay,-8.14%,-213.85%,"(42,77,19,714)","(29,75,63,386)","(1,21,594)","(39,38,753)","(8,92,210)","(20,008)","(44,782)","(12,53,44,764)","2,05,783 ",2%
2018,ERAMET,France,Quarrying of sand and clay,-9.27%,-62.69%,"(39,54,81,783)","(33,99,62,595)","(1,78,896)","(42,33,598)","(9,69,307)","(23,859)","(36,343)","(5,03,04,018)","2,26,833 ",1%
2018,TECK RESOURCES LIMITED,Canada,Quarrying of sand and clay,-3.47%,-13.36%,"(31,94,76,695)","(31,27,05,028)","(96,371)","(38,81,111)","(8,97,242)","(15,542)","(3,31,660)","(16,24,262)","74,520 ",2%
2018,BORAL LIMITED,Australia,Quarrying of sand and clay,-7.75%,-85.75%,"(31,29,95,232)","(23,73,61,674)","(93,569)","(31,04,922)","(7,07,285)","(14,529)","(1,32,480)","(7,16,99,848)","1,19,074 ",2%
2018,SUMITOMO METAL MINING CO LTD,Japan,Quarrying of sand and clay,-3.66%,-31.01%,"(31,14,92,574)","(29,39,27,160)","(82,233)","(38,89,946)","(9,05,745)","(14,001)","(21,301)","(1,26,96,865)","44,677 ",0%
2018,COMPASS MINERALS INTERNATIONAL INC,United States,Quarrying of sand and clay,-20.19%,-241.25%,"(30,15,57,491)","(4,21,77,511)","(25,082)","(2,31,651)","(23,226)","(3,762)","(18,10,507)","(25,73,62,275)","76,524 ",3%
2018,ILUKA RESOURCES LIMITED,Australia,Quarrying of sand and clay,-31.18%,-80.69%,"(29,69,17,240)","(4,51,40,405)","(19,362)","(5,86,887)","(1,32,959)","(2,928)","(31,227)","(25,10,30,192)","26,720 ",4%
2018,AFRICAN RAINBOW MINERALS LIMITED,South Africa,Quarrying of sand and clay,-50.85%,-1192.05%,"(29,49,63,935)","(13,26,50,391)","(29,540)","(15,10,881)","(3,51,983)","(5,239)","(19,16,186)","(15,85,06,080)","6,367 ",9%
2018,ADELAIDE BRIGHTON LIMITED,Australia,Quarrying of sand and clay,-23.97%,-182.36%,"(27,58,16,761)","(24,92,94,727)","(67,934)","(32,99,264)","(7,67,902)","(11,644)","(37,737)","(2,23,69,844)","32,290 ",5%
2018,WIENERBERGER AG,Austria,Quarrying of sand and clay,-7.16%,-121.98%,"(27,10,40,243)","(25,95,67,077)","(59,084)","(34,05,945)","(7,96,511)","(10,763)","(6,138)","(71,96,880)","2,154 ",1%
2018,POSCO CHEMICAL CO LTD,South Korea,Quarrying of sand and clay,-21.21%,-276.23%,"(26,36,52,121)","(25,44,62,408)","(63,940)","(34,10,731)","(7,94,004)","(11,738)","(4,781)","(49,37,273)","32,753 ",0%
2018,INDUSTRIAS PENOLES S.A.B. DE CV,Mexico,Quarrying of sand and clay,-5.63%,-37.66%,"(24,16,42,320)","(23,64,04,991)","(54,988)","(31,37,228)","(7,35,237)","(9,920)","(9,119)","(12,92,870)","2,033 ",0%
2018,ASSORE LIMITED,South Africa,Quarrying of sand and clay,-53.34%,-453.10%,"(23,37,66,889)","(13,71,96,429)","(45,247)","(16,02,433)","(3,68,445)","(6,822)","(14,47,721)","(9,31,34,815)","35,023 ",1%
